,kingdom,phylum,class,order,family,genus
221,Bacteria,Proteobacteria,Alphaproteobacteria,,,Candidatus Puniceispirillum
222,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Purcelliella
223,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Riesia
224,Bacteria,Proteobacteria,Gammaproteobacteria,,,Candidatus Ruthia
225,Bacteria,Candidatus Saccharibacteria,,,,Candidatus Saccharimonas
226,Bacteria,Acidobacteria,Acidobacteriia,Bryobacterales,Solibacteraceae,Candidatus Solibacter
227,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,Candidatus Sulcia
228,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Candidatus Symbiobacter
229,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Tachikawaea
230,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Candidatus Tenderia
231,Bacteria,Proteobacteria,Gammaproteobacteria,,,Candidatus Thioglobus
232,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,Candidatus Tokpelaia
233,Bacteria,Proteobacteria,Betaproteobacteria,,,Candidatus Tremblaya
234,Bacteria,Proteobacteria,Betaproteobacteria,,,Candidatus Vidania
235,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,Candidatus Walczuchella
236,Bacteria,Verrucomicrobia,Spartobacteria,,,Candidatus Xiphinematobacter
237,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Candidatus Zinderia
238,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga
239,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Caproiciproducens
240,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVI. Incertae Sedis,Carboxydocella
241,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus
242,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium
243,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
244,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Castellaniella
245,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Catenovulum
