file,kegg,acession,kingdom,phylum,class,order,family,genus
abas_CP030840,abas,CP030840,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,
abat_LT859958,abat,LT859958,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Brevefilum
abau_CP009257,abau,CP009257,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
abaw_CP032509,abaw,CP032509,Bacteria,Proteobacteria,Alphaproteobacteria,,,
abaz_CP006768,abaz,CP006768,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
abb_CP001172,abb,CP001172,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
abc_CP000863,abc,CP000863,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
abd_CP002522,abd,CP002522,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
abf_CP012914,abf,CP012914,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum
abg_AP014690,abg,AP014690,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Asaia
abh_CP003856,abh,CP003856,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
abi_CP001941,abi,CP001941,Archaea,Euryarchaeota,,,,Aciduliprofundum
abj_CP003846,abj,CP003846,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
abk_CP009534,abk,CP009534,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
abl_CP006615,abl,CP006615,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter
abm_CU468230,abm,CU468230,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
abn_CP001182,abn,CP001182,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
abo_AM286690,abo,AM286690,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax
abq_CP007793,abq,CP007793,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum
abr_CP003500,abr,CP003500,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
abra_FO681348,abra,FO681348,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
abri_CP029289,abri,CP029289,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus
abs_HE577327,abs,HE577327,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum
abt_AP012047,abt,AP012047,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter
abu_CP000361,abu,CP000361,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter
abw_CP007535,abw,CP007535,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
abx_CP001921,abx,CP001921,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
aby_CU459141,aby,CU459141,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
abz_CP001937,abz,CP001937,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
aca_CP001472,aca,CP001472,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium
acad_CP016076,acad,CP016076,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus
acal_CP020000,acal,CP020000,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
acav_CP024198,acav,CP024198,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
acb_CP000521,acb,CP000521,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
acc_NC_016603,acc,NC_016603,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
acd_CP002080,acd,CP002080,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ace_CP000481,ace,CP000481,Bacteria,Actinobacteria,Actinobacteria,Acidothermales,Acidothermaceae,Acidothermus
acet_CP030871,acet,CP030871,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter
acf_CP003168,acf,CP003168,Archaea,Euryarchaeota,,,,Aciduliprofundum
acg_CP014159,acg,CP014159,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus
